Unnamed: 0,Datetime,pv,load,dc_power,poa_irradiance,Global_active_power,Voltage,Global_intensity,Sub_metering_3
0,1/21/2010 11:00,778.9923077,1.3444,778.9923077,336.7769231,1.3444,243.75,5.426666667,18.86666667
1,1/21/2010 11:15,782.32,1.4048,782.32,335.8733333,1.4048,245.71,5.586666667,19.2
2,1/21/2010 11:30,924.5333333,1.4904,924.5333333,392.1066667,1.4904,245.314,6.04,19.06666667
3,1/21/2010 11:45,1059.533333,1.362133333,1059.533333,448.2133333,1.362133333,245.1033333,5.466666667,19.13333333
4,1/21/2010 12:00,963.24,1.420533333,963.24,406.4533333,1.420533333,245.166,5.68,19.06666667
5,1/21/2010 12:15,767.9466667,1.438,767.9466667,329.8066667,1.438,245.822,5.786666667,19.2
6,1/21/2010 12:30,743.22,1.392666667,743.22,319.8266667,1.392666667,246.0526667,5.586666667,19.2
7,1/21/2010 12:45,681.0533333,1.7932,681.0533333,296.62,1.7932,246.1386667,7.413333333,19.26666667
8,1/21/2010 13:00,748.9266667,1.5904,748.9266667,322.9866667,1.5904,243.6573333,6.506666667,18.86666667
9,1/21/2010 13:15,994.4266667,1.464933333,994.4266667,426.82,1.464933333,243.284,6.04,18.8
10,1/21/2010 13:30,1073.2,1.4884,1073.2,460.7733333,1.4884,244.2593333,6.066666667,18.93333333
11,1/21/2010 13:45,1161.666667,1.405866667,1161.666667,505.5533333,1.405866667,243.158,5.733333333,18.8
12,1/21/2010 14:00,724.1866667,1.855466667,724.1866667,324.76,1.855466667,242.4973333,7.706666667,18.73333333
13,1/21/2010 14:15,698.8066667,1.466933333,698.8066667,329.9,1.466933333,244.6806667,5.986666667,19.0
14,1/21/2010 14:30,468.7066667,1.379066667,468.7066667,217.2466667,1.379066667,245.2486667,5.6,19.06666667
15,1/21/2010 14:45,429.8466667,1.4744,429.8466667,210.8866667,1.4744,246.32,5.946666667,19.26666667
16,1/21/2010 15:00,387.2266667,1.4996,387.2266667,189.88,1.4996,248.5233333,6.0,19.6
17,1/21/2010 15:15,270.46,1.454666667,270.46,126.5266667,1.454666667,247.346,5.8,19.46666667
18,1/21/2010 15:30,237.6733333,1.5436,237.6733333,112.3266667,1.5436,246.5106667,6.266666667,19.26666667
19,1/21/2010 15:45,185.72,1.51,185.72,88.92666667,1.51,245.816,6.173333333,19.2
20,1/21/2010 16:00,177.4266667,1.244533333,177.4266667,86.13333333,1.244533333,245.1193333,5.12,14.4
21,1/21/2010 16:15,107.44,0.450533333,107.44,55.60933333,0.450533333,245.4333333,2.066666667,0.666666667
22,1/21/2010 16:30,51.89866667,0.411466667,51.89866667,31.136,0.411466667,246.1673333,1.88,0.666666667
23,1/21/2010 16:45,18.89973333,0.3288,18.89973333,16.42993333,0.3288,245.4093333,1.386666667,0.666666667
24,1/21/2010 17:00,3.064466667,0.353333333,3.064466667,2.929133333,0.353333333,243.2853333,1.52,0.666666667
25,1/21/2010 17:15,0.156333333,0.420666667,0.156333333,0.427933333,0.420666667,242.5386667,1.84,0.666666667
26,1/21/2010 17:30,0.002,0.428,0.002,0.0,0.428,241.3946667,1.76,0.666666667
27,1/21/2010 17:45,0.0,1.7652,0.0,0.0,1.7652,242.536,7.24,0.666666667
28,1/21/2010 18:00,0.0,2.110266667,0.0,0.0,2.110266667,241.118,8.733333333,0.666666667
29,1/21/2010 18:15,0.0,1.932933333,0.0,0.0,1.932933333,241.0273333,8.08,3.8
30,1/21/2010 18:30,0.0,2.1296,0.0,0.0,2.1296,241.018,8.8,0.666666667
31,1/21/2010 18:45,0.0,1.697333333,0.0,0.0,1.697333333,239.938,7.026666667,0.6
32,1/21/2010 19:00,0.0,1.776666667,0.0,0.0,1.776666667,240.8273333,7.36,0.666666667
33,1/21/2010 19:15,0.0,1.974133333,0.0,0.0,1.974133333,239.548,8.226666667,1.533333333
34,1/21/2010 19:30,0.0,3.362,0.0,0.0,3.362,238.2766667,14.06666667,18.2
35,1/21/2010 19:45,0.0,3.512666667,0.0,0.0,3.512666667,237.77,14.74666667,18.0
36,1/21/2010 20:00,0.0,3.304666667,0.0,0.0,3.304666667,238.306,13.82666667,21.46666667
37,1/21/2010 20:15,0.0,2.653333333,0.0,0.0,2.653333333,238.058,11.18666667,18.06666667
38,1/21/2010 20:30,0.0,2.628133333,0.0,0.0,2.628133333,238.8506667,11.0,18.13333333
39,1/21/2010 20:45,0.0,3.098,0.0,0.0,3.098,238.9093333,12.96,18.13333333
40,1/21/2010 21:00,0.0,2.7684,0.0,0.0,2.7684,237.544,11.62666667,17.93333333
41,1/21/2010 21:15,0.0,2.821333333,0.0,0.0,2.821333333,237.72,11.81333333,18.0
42,1/21/2010 21:30,0.0,4.3124,0.0,0.0,4.3124,236.8466667,18.21333333,17.86666667
43,1/21/2010 21:45,0.0,3.4424,0.0,0.0,3.4424,236.0666667,14.74666667,17.73333333
44,1/21/2010 22:00,0.0,2.9756,0.0,0.0,2.9756,236.144,12.66666667,17.73333333
45,1/21/2010 22:15,0.0,2.400133333,0.0,0.0,2.400133333,240.6586667,9.986666667,18.4
46,1/21/2010 22:30,0.0,2.2004,0.0,0.0,2.2004,240.7,9.12,18.46666667
47,1/21/2010 22:45,0.0,2.1048,0.0,0.0,2.1048,241.0706667,8.666666667,18.46666667
48,1/21/2010 23:00,0.0,2.132933333,0.0,0.0,2.132933333,242.734,8.733333333,18.73333333
49,1/21/2010 23:15,0.0,1.883466667,0.0,0.0,1.883466667,241.4426667,7.773333333,18.53333333
50,1/21/2010 23:30,0.0,1.776666667,0.0,0.0,1.776666667,242.136,7.306666667,18.6
51,1/21/2010 23:45,0.0,1.690533333,0.0,0.0,1.690533333,241.8833333,6.906666667,18.6
52,1/22/2010 0:00,0.0,1.7204,0.0,0.0,1.7204,241.34,7.08,18.53333333
53,1/22/2010 0:15,0.0,1.878933333,0.0,0.0,1.878933333,241.2366667,7.76,21.66666667
54,1/22/2010 0:30,0.0,1.626133333,0.0,0.0,1.626133333,239.4173333,6.733333333,18.2
55,1/22/2010 0:45,0.0,1.418133333,0.0,0.0,1.418133333,239.8746667,5.88,18.33333333
56,1/22/2010 1:00,0.0,1.373733333,0.0,0.0,1.373733333,240.4266667,5.626666667,18.33333333
57,1/22/2010 1:15,0.0,1.322,0.0,0.0,1.322,240.5653333,5.413333333,18.4
58,1/22/2010 1:30,0.0,1.441466667,0.0,0.0,1.441466667,241.3106667,5.946666667,18.53333333
59,1/22/2010 1:45,0.0,1.392133333,0.0,0.0,1.392133333,242.1746667,5.72,18.66666667
60,1/22/2010 2:00,0.0,1.345866667,0.0,0.0,1.345866667,242.772,5.493333333,18.73333333
61,1/22/2010 2:15,0.0,0.548,0.0,0.0,0.548,244.1106667,2.493333333,3.666666667
62,1/22/2010 2:30,0.0,0.3132,0.0,0.0,0.3132,243.2686667,1.4,0.666666667
63,1/22/2010 2:45,0.0,0.259733333,0.0,0.0,0.259733333,243.7053333,1.186666667,0.666666667
64,1/22/2010 3:00,0.0,0.3508,0.0,0.0,0.3508,243.5126667,1.626666667,0.733333333
65,1/22/2010 3:15,0.0,0.3264,0.0,0.0,0.3264,241.3906667,1.506666667,0.6
66,1/22/2010 3:30,0.0,0.257466667,0.0,0.0,0.257466667,241.8766667,1.2,0.666666667
